code,name,description,status,default price
EP-001,ผ้ายกตัว ELGO SOFT,,1,0
EP-002,ผ้ายกตัว ELGO SMART,,1,0
EP-006,เข็มขัดพยุงเดิน ELGO,,1,0
EP-021,เข็มขัดรัดกันตก ELGO,,1,0
EP-011,ถุงมือกันดึงสาย ELGO,,1,0
EP-007,ผ้ายึดตรึงข้อมือ-ข้อเท้า ELGO,,1,0
EP-022,ถุงนิ้ว ELGO,,1,0
EP-012,ถุงมือกันดึงสาย ELGO รุ่นปลายเปิด,ถุงมือผู้ป่วยปลายเปิด,1,0
EP-015,สายช่วยขยับ ELGO,,1,0
EP-017,Triangle Pillow,,1,0
EP-014,ถุงมือเช็ดตัว ELGO,,1,0
EP-020,หมอนลิ่มจัดท่า ELGO,,1,0
EP-003,ผ้าลากเลื่อน ELGO SLIDE,,1,0
EP-004,ผ้ายกตัว ELGO SMART รุ่นผ้ากันน้ำ 2 ด้าน,,1,
EP-008,ชุดยึดตรึงไหล่ ELGO,,1,
EP-024,เข็มขัดพยุงเดิน ELGO รุ่นประคองก้น,,1,
EP-019,กระเป๋าใส่ถุงปัสสาวะ ELGO,,1,
EP-025,ฟองน้ำผ้ายกต้ว ELGO SOFT,,1,
EP-016,เข็มขัดพยุงเดินแบบมีเสื้อ,,1,
EP-026,ที่รัดขาเข้ากับรถเข็น,,1,
EP-027,ที่วางเท้ารถเข็น,,1,
EP-009,Papoose Board,,1,